#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	capture_loss
1582646587.715728	CYvYjv3UUcYRbhnmL5	192.168.1.110	55635	18.246.31.137	443	tcp	-	0.040702	39	39	OTH	-	-	0	DdA	2	143	1	91	-
#path	weird
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1582646586.880512	-	-	-	-	-	unknown_protocol	2	F	zeek
#path	conn
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1582646586.154443	C2gSK1vEKMlYwQAG7	192.168.1.110	57591	172.217.9.142	443	tcp	-	0.216412	2511	3263	OTH	-	-	0	DadA	11	3083	9	3731	-
#path	stats
#fields	ts	peer	mem	pkts_proc	bytes_recv	pkts_dropped	pkts_link	pkt_lag	events_proc	events_queued	active_tcp_conns	active_udp_conns	active_icmp_conns	tcp_conns	udp_conns	icmp_conns	timers	active_timers	files	active_files	dns_requests	active_dns_requests	reassem_tcp_size	reassem_file_size	reassem_frag_size	reassem_unknown_size
#types	time	string	count	count	count	count	count	interval	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count
1582646585.983635	zeek	68	1	1001	-	-	-	402	11	1	0	0	1	0	0	37	33	0	0	0	0	992	0	0	0
#path	conn
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1582646585.983635	Ct69B94Av1HARYcCw6	192.168.1.110	56625	172.217.9.142	443	tcp	-	11.317514	2801	1306	OTH	-	-	0	DadA	16	3633	16	2138	-
